173	331
173	331
176	331
176	330
178	330
178	330
182	332
182	332
188	332
188	333
193	334
193	334
198	333
198	333
202	331
202	332
205	331
205	331
208	333
208	334
210	335
209	336
211	337
211	338
212	338
213	339
213	338
214	338
215	341
215	341
214	341
214	342
211	343
212	343
212	344
211	344
212	345
212	345
213	343
213	343
214	342
214	342
213	340
213	340
212	340
212	339
211	340
212	340
210	339
210	339
210	336
210	336
212	334
212	334
213	330
213	330
213	327
213	327
210	324
210	324
209	324
209	323
210	322
210	322
212	320
212	320
213	318
213	318
215	316
216	315
215	315
215	315
217	317
217	317
218	319
219	319
220	321
221	322
230	323
231	323
235	324
235	324
238	324
238	324 GG
240	324
240	324
242	325
242	326
247	325
247	325
250	324
250	324
254	323
254	323
254	322
254	322
254	320
254	320
251	320
250	320
249	321
248	320
247	321
247	321
245	319
245	319
243	318
243	318
239	318
238	318
233	319
233	319
228	322
228	323
